drug,condition,review,effect,rating
LISINOPRIL,Took with Metformin,"{""In addition to the panic attacks and eye problems I have, I am also suffering from my throat feeling as if someone is squeezing it. Like in life, some days are better than others, but God has still been very good to me, and have guided me along in gathering information so that I can get better. If any of you know anyone who is taking a blood pressure drug like an ACE inhibitor, please warn them of how dangerous it is. Some people are able to tolerate it, but in my case, it was the worst thing in my life that has happened to me.\nAn ACE inhibitor is a drug that inhibits the kidneys from secreting a hormone that hardens your blood vessels. I will go into detail later, but basically that is how it works. It is actually your kidneys that control your blood pressure, and like the conspiracy that is, Lisinopril was given to me along with Metformin which is the diabetes medication to protect my kidneys from the effects of diabetes.\nAt a low dose of 10mg per day along with the Metformin, the Lisinopril worked great. It kept my blood pressure in a normal range of around 128/80 and I felt no side effects.\nOne day, I was running late for a doctor's appointment, and I didn't get a chance to take the blood pressure medication. Instead of the nurse practitioner asking me if I took my blood pressure medicine, or even if I was under stress, she saw that my blood pressure was elevated and doubled my dose. That was when I started noticing things.""}","Black spots, blind spots, floaters, severe panic attacks, blurred vision. My health spiraled out of control",1
LISINOPRIL,hypertension,"{'Horrible product, pure poision'}","Everything under the sun. Swelling of every part of my body, burning, memory loss, extreme stomach pain and 70 pound weigh gain.",1
LISINOPRIL,high bp,{''},Headache..bp still high ..flushed hot nauseated..anxious..my feet are still swollen. Not a fan of this lupin product. I am going to switch back to he other pharm co. Blue dyes no 6 could cause issues to.,1
LISINOPRIL,Blood pressure,"{""I don't know if this is causing it but from looking here it could be.""}",Very tired. Blurred vision. Feeling out of sync.,4
LISINOPRIL,High bp,"{'I started taking lisinopril about 6/7 months ago and only now after reading these reviews am I starting to realize that all my ""problems"" are really just side effects from taking this medication. It leaves me extremely fatigued, depressed, anxious, and extremely dizzy/lightheaded. I can barely function. I am going to lesson my dosage and eventually stop taking it. I even recently quit my job because, along with the already extremely negative/stressful work environment, I could not handle the side effects while at work. Like I said, I\'m only know starting to realize that the side effects of this medicine were the main culprit of my problems. I originally just thought it was stress'}","Anxiety, extreme fatigue. Depression, loss of interest in everything, dizziness/foggy, weight gain, loss of memory.",1
LISINOPRIL,high blood pressure,{''},"After just 4 days on lisinopril I started having severe stomach pains. I stopped taking it without telling my Dr. Three days after stopping I had a horrible panic attack. Restarted the medicine, took it for 8 days and the severe stomach pains returned. Today my Dr switched me to Amlodipine....I hope it works better.",1
LISINOPRIL,,{''},Husband a total wreck scans on body and head found nothing like walking zombie catalepsy lost three stone in weight dizzy cough doctor said phemonia memory loss shocking,1
LISINOPRIL,Blood pressure 168,"{""It's a mess""}","Lightheaded, dizzy horrible night cough, anxiety urinate constantly tried to tough it out but just can't get over the side effects Quit a week ago trying to get it completely out of my system still side effects very irritating. Please don't take this drug awful mess!!!",1
LISINOPRIL,Hypertension,"{""I am on Lisinopril/hctz. The first few days were weird feeling and I had some side effects. Doctor assured me they'd either reduce, go away, or she'd switch me. All side effects went away, or reduced to where I can't notice them. My blood pressure dropped from the high 140s to the low 130s over 70s.""}","Restless sleep, lightheaded-ness, tired all the time,",5
LISINOPRIL,For b/ p,"{""It's poison!! Drug co should be sued! It has destroyed my life""}",Too many to mention. Difficult to get out of bed feel like I'm dying !,1
LISINOPRIL,HBP,"{'For anyone who reads this and is suffering terribly with the same symptoms I had from this poison, I am so sorry. Do not stay on it unless you want your quality of life absolutely destroyed in a spiral of absolute sickness and horror. I can only thank God and his guidance that I did the digging and research to find on many various forums and websites, all the countless thousands of stories from people who were suffering greatly and destroying their health from Lisinopril. Before I understood that it was Lisinopril that was causing my severe problems, I was suicidal because I was so extremely sick day and night.. feeling like i had severe life threatening food poisoning.. living off anti-nausea meds just to barely cope and keep living. I want to sue the manufacturers and pushers of this poison, as it caused me to suffer more than I could possibly bear. I am fortunate to still be alive.'}","Extreme nausea, Vomiting, Restless leg syndrome, Flu like symptoms, Diarreah, Fatigue, Overall feeling of being badly poisoned constantly.",1
LISINOPRIL,High blood pressure,"{""I'm so glad I figured out what this medicine was doin to me. I got a viral cold on a Friday. Felt bad. Sore throat every day I felt worse. Also started the bp medicine on Friday. By day 3 on the medicine I kept telling my husband my throat hurt so bad I couldn't swallow. At night it was literally like my throat was gonna close up. My tongue felt thick. Was awake for nights with this. Couph was so bad day and night I would throw up. Kept thinking I wasn't getting over the cold. Then on the following Friday my throat hurt so bad I was crying. I had taken everything I knew to take to help with pain and nothing helped. Then at 3:00 am I took some Allegra d which has antihistimine in it and guess what my throat stopped hurting which told me it was a reaction I was having. And the only thing new was the bp medicine. I looked up side affects and guess what. Every one was me. Then I saw all of these. It's scary what this stuff would have done to me if I hadn't figured it out. Be aware of what you take. Dr s should follow up with people and research side affects before they put people on things.""}","Flu like feeling
The worse couph Iv ever had
Swollen throat. Hurt so bad couldn't swallow
Ears ringing
Ear ache
Tired
Irritable",1
LISINOPRIL,HBP,{'Was feeling great before started HPB last year. Initially it was Amlodipine Valsartan then Lisinopril/hctz (which was good but was very lightheaded).'},"Strong lightheadedness, strong anxiety, depression, chest discomfort/pain, back pain, numbness in hands and foot.",2
LISINOPRIL,Sudden unexplained high BP,{''},"I am extremely fit & mountain bike, run, xc ski, normal weight, zero plague in heart always low BP, last physical 108/68. Sudden BP increase we think was caused by a muscle relaxer. I felt fine. Dr prescribed 5 mg Lusinopril. Severe side effects: weak, dizzy, fainted, extreme extreme insomnia. 4 hrs sleep & up for 34 hours with no sleep even with sleeping pill. Couldn't sit up I was so weak. BP then soared to 197/109 after 4 days on it so doc doubled dose. Symptoms so bad I had tachycardia & got winded just trying to put BP monitor cuff on. Felt like I was being poisoned. Decided to cut back to 5 mg without consulting doc. BP 108/78 two days later but no relief in side effects. Thought I was dying went to urgent care & they took me off it. Said do nothing for 3 days & if BP rises will do a different one.",1
